Nazwisko aktualne,Liczba
NOWAK,98859
KOWALSKI,66891
WIŚNIEWSKI,53380
WÓJCIK,47981
KOWALCZYK,47252
KAMIŃSKI,46050
LEWANDOWSKI,44668
ZIELIŃSKI,44115
WOŹNIAK,42757
SZYMAŃSKI,42640
DĄBROWSKI,41802
KOZŁOWSKI,36441
MAZUR,34595
JANKOWSKI,33282
KWIATKOWSKI,32068
WOJCIECHOWSKI,31744
KRAWCZYK,30446
KACZMAREK,29934
PIOTROWSKI,29426
GRABOWSKI,28078
ZAJĄC,27028
PAWŁOWSKI,26775
KRÓL,26658
MICHALSKI,26171
WRÓBEL,24815
WIECZOREK,24336
JABŁOŃSKI,24175
NOWAKOWSKI,23742
MAJEWSKI,23700
OLSZEWSKI,23345
DUDEK,22786
JAWORSKI,22676
STĘPIEŃ,22653
MALINOWSKI,22649
ADAMCZYK,22547
GÓRSKI,21878
PAWLAK,21824
SIKORA,21762
NOWICKI,21707
WITKOWSKI,21335
RUTKOWSKI,21182
WALCZAK,21019
BARAN,20976
MICHALAK,20397
OSTROWSKI,20242
SZEWCZYK,20186
TOMASZEWSKI,19357
ZALEWSKI,19092
WRÓBLEWSKI,18782
PIETRZAK,18545
JASIŃSKI,18502
DUDA,18308
MARCINIAK,18205
SADOWSKI,18137
BĄK,18052
ZAWADZKI,17984
JAKUBOWSKI,17891
WILK,17428
CHMIELEWSKI,17200
BORKOWSKI,16953
WŁODARCZYK,16846
SOKOŁOWSKI,16549
SZCZEPAŃSKI,16521
SAWICKI,16452
LIS,16369
KUCHARSKI,15796
KALINOWSKI,15645
WYSOCKI,15565
MAZUREK,15495
KUBIAK,15388
MACIEJEWSKI,15388
KOŁODZIEJ,14950
KAŹMIERCZAK,14620
CZARNECKI,14487
KONIECZNY,13940
SOBCZAK,13937
KRUPA,13922
GŁOWACKI,13722
MRÓZ,13637
URBAŃSKI,13613
KOZAK,13570
ZAKRZEWSKI,13500
KRAJEWSKI,13452
WASILEWSKI,13450
LASKOWSKI,13315
SIKORSKI,13276
ZIÓŁKOWSKI,13116
GAJEWSKI,13055
SZULC,13044
MAKOWSKI,12973
KACZMARCZYK,12816
BARANOWSKI,12768
BRZEZIŃSKI,12743
PRZYBYLSKI,12599
KANIA,12547
JANIK,12504
SZYMCZAK,12473
BOROWSKI,12457
ADAMSKI,12432
BŁASZCZYK,12391
GÓRECKI,12304
SZCZEPANIAK,12284
CHOJNACKI,12077
KOZIOŁ,12031
LESZCZYŃSKI,12026
MUCHA,12010
LIPIŃSKI,12003
ANDRZEJEWSKI,11961
KOWALEWSKI,11950
CZERWIŃSKI,11908
MIKOŁAJCZYK,11821
WESOŁOWSKI,11820
ZIĘBA,11697
JAROSZ,11635
CIEŚLAK,11529
KOWALIK,11430
MARKOWSKI,11430
MUSIAŁ,11404
KOŁODZIEJCZYK,11260
KOPEĆ,11193
BRZOZOWSKI,11121
PIĄTEK,11052
NOWACKI,11046
ŻAK,10958
DOMAŃSKI,10912
PAWLIK,10895
ORŁOWSKI,10866
KUREK,10847
KOT,10842
WÓJTOWICZ,10779
TOMCZYK,10778
CIESIELSKI,10758
KRUK,10747
TOMCZAK,10744
WAWRZYNIAK,10590
POLAK,10495
WOLSKI,10415
MARKIEWICZ,10299
SOWA,10268
STASIAK,10092
